date,count,amount
2000-09-02 00:00:00,87,41501.5
2000-09-03 00:00:00,85,20497.83
2000-09-04 00:00:00,52,46330.0
2000-09-05 00:00:00,2010,490485.8600000009
2000-09-06 00:00:00,894,357428.00999999995
2000-09-07 00:00:00,3343,1719651.0199999982
2000-09-08 00:00:00,2778,943739.4
2000-09-09 00:00:00,432,113224.73000000001
2000-09-10 00:00:00,1659,57672.2300000003
2000-09-11 00:00:00,532,674965.8
2000-09-12 00:00:00,1179,602259.02
2000-09-13 00:00:00,994,755054.3400000002
2000-09-14 00:00:00,1625,697980.6199999999
2000-09-15 00:00:00,4595,931596.7600000012
2000-09-16 00:00:00,324,104801.07
2000-09-17 00:00:00,89,21048.59
2000-09-18 00:00:00,834,505316.8499999999
2000-09-19 00:00:00,672,328507.52999999985
2000-09-20 00:00:00,2455,612729.7400000013
2000-09-21 00:00:00,1101,661293.4799999997
2000-09-22 00:00:00,2305,492551.10000000015
2000-09-23 00:00:00,435,39916.369999999995
2000-09-24 00:00:00,252,18492.510000000002
2000-09-25 00:00:00,4234,533984.1899999989
2000-09-26 00:00:00,1042,856629.0399999999
2000-09-27 00:00:00,915,548460.65
2000-09-28 00:00:00,1891,791287.3699999995
2000-09-29 00:00:00,3740,1126651.4900000014
2000-09-30 00:00:00,2926,311143.75000000006
2000-10-01 00:00:00,539,128130.67000000001
2000-10-02 00:00:00,1212,880305.0699999997
2000-10-03 00:00:00,897,543758.04
2000-10-04 00:00:00,853,1293806.5399999998
2000-10-05 00:00:00,1609,644057.4800000001
2000-10-06 00:00:00,947,908010.2999999996
2000-10-07 00:00:00,431,36827.57000000001
2000-10-08 00:00:00,274,38187.0
2000-10-09 00:00:00,443,332626.80000000005
2000-10-10 00:00:00,2819,794155.0699999988
2000-10-11 00:00:00,1423,948374.4799999996
2000-10-12 00:00:00,1605,1231497.5999999996
2000-10-13 00:00:00,3249,988912.6000000013
2000-10-14 00:00:00,310,62188.23
2000-10-15 00:00:00,2137,102726.23999999999
2000-10-16 00:00:00,855,717139.9500000004
2000-10-17 00:00:00,1843,1094154.02
2000-10-18 00:00:00,850,1092756.5499999998
2000-10-19 00:00:00,1026,688793.55
2000-10-20 00:00:00,2228,1066526.1099999996
2000-10-21 00:00:00,357,100658.08000000002
2000-10-22 00:00:00,76,27247.2
2000-10-23 00:00:00,878,801810.15
2000-10-24 00:00:00,2158,995204.1099999994
2000-10-25 00:00:00,4012,1539966.7100000093
2000-10-26 00:00:00,1188,679849.2800000001
2000-10-27 00:00:00,1538,778059.95
2000-10-28 00:00:00,417,171329.09
2000-10-29 00:00:00,112,65427.12
2000-10-30 00:00:00,1420,1353605.430000001
2000-10-31 00:00:00,4443,1187993.3599999999
2000-11-01 00:00:00,2313,1346406.0400000003
2000-11-02 00:00:00,982,799062.7100000001
2000-11-03 00:00:00,1581,983807.41
2000-11-04 00:00:00,485,77034.43000000002
2000-11-05 00:00:00,1311,54997.11
2000-11-06 00:00:00,1137,583013.7799999999
2000-11-07 00:00:00,948,653522.3400000001
2000-11-08 00:00:00,438,196909.87
2000-11-09 00:00:00,616,344939.06000000006
2000-11-10 00:00:00,3793,366522.87999999925
2000-11-11 00:00:00,33,12760.0
2000-11-12 00:00:00,50,11161.49
2000-11-13 00:00:00,759,341603.02
2000-11-14 00:00:00,1487,353067.01
2000-11-15 00:00:00,3225,389093.2100000001
2000-11-16 00:00:00,1982,577074.8400000005
2000-11-17 00:00:00,2194,288759.30000000034
2000-11-18 00:00:00,105,25005.859999999997
2000-11-19 00:00:00,257,28203.5
2000-11-20 00:00:00,1503,328270.97000000003
2000-11-21 00:00:00,809,497250.91
2000-11-22 00:00:00,1486,238793.88999999943
2000-11-23 00:00:00,23,100850.0
2000-11-24 00:00:00,1034,56972.94
2000-11-25 00:00:00,2004,47480.01000000059
2000-11-26 00:00:00,136,8951.83
2000-11-27 00:00:00,1122,247541.22000000003
2000-11-28 00:00:00,1352,710650.4199999999
2000-11-29 00:00:00,921,434733.6
2000-11-30 00:00:00,3881,608063.4800000007
2000-12-01 00:00:00,3045,565295.1800000003
2000-12-02 00:00:00,1157,100763.93999999997
2000-12-03 00:00:00,143,46030.46
2000-12-04 00:00:00,1093,632373.1699999999
2000-12-05 00:00:00,2311,1051542.08
2000-12-06 00:00:00,1904,709191.4299999999
2000-12-07 00:00:00,1665,1053068.7499999998
2000-12-08 00:00:00,3055,3656698.700000002
2000-12-09 00:00:00,1108,422758.76
2000-12-10 00:00:00,1880,76827.31999999953
2000-12-11 00:00:00,706,216946.92999999996
2000-12-12 00:00:00,2684,279145.1200000001
2000-12-13 00:00:00,332,51819.25
2000-12-14 00:00:00,335,78959.72999999998
2000-12-15 00:00:00,3493,202122.3999999998
2000-12-16 00:00:00,753,73963.29999999999
2000-12-17 00:00:00,33,2160.84
2000-12-18 00:00:00,1406,171200.11000000004
2000-12-19 00:00:00,456,118525.94
2000-12-20 00:00:00,1552,97073.57999999984
2000-12-21 00:00:00,3191,152563.25000000026
2000-12-22 00:00:00,860,46333.92
2000-12-23 00:00:00,499,12768.400000000001
2000-12-24 00:00:00,35,1227.0400000000002
2000-12-25 00:00:00,1926,30481.919999999813
2000-12-26 00:00:00,456,27385.209999999995
2000-12-27 00:00:00,302,154317.19
2000-12-28 00:00:00,369,62565.619999999995
2000-12-29 00:00:00,2643,299790.59999999986
2000-12-30 00:00:00,263,25934.67
2000-12-31 00:00:00,2964,292336.5199999999
2001-01-01 00:00:00,308,11866.119999999999
2001-01-02 00:00:00,851,57964.22000000003
2001-01-03 00:00:00,536,87065.79000000001
2001-01-04 00:00:00,359,53806.82
2001-01-05 00:00:00,2133,137177.23000000004
2001-01-06 00:00:00,134,6489.58
2001-01-07 00:00:00,53,4096.49
2001-01-08 00:00:00,430,75164.72999999998
2001-01-09 00:00:00,731,51062.42999999999
2001-01-10 00:00:00,781,64299.23000000002
2001-01-11 00:00:00,849,73451.78
2001-01-12 00:00:00,3716,173499.15999999957
2001-01-13 00:00:00,284,4422.510000000005
2001-01-14 00:00:00,35,1151.6
2001-01-15 00:00:00,3339,69896.58000000025
2001-01-16 00:00:00,768,105558.88999999994
2001-01-17 00:00:00,257,56401.92
2001-01-18 00:00:00,633,46954.420000000006
2001-01-19 00:00:00,2220,108076.94000000012
2001-01-20 00:00:00,395,7818.809999999997
2001-01-21 00:00:00,52,3245.6
2001-01-22 00:00:00,731,77326.2
2001-01-23 00:00:00,191,119256.5
